,곡명,아티스트,앨범,좋아요수
1,예술이야,싸이 (PSY),PSYFIVE (싸이파이브),"85,865"
2,뜨거운 안녕 (Feat. 성시경),싸이 (PSY),싸이6甲 Part.1,"106,631"
3,어땠을까 (Feat. 박정현),싸이 (PSY),싸이6甲 Part.1,"189,187"
4,챔피언,싸이 (PSY),3마이,"47,960"
5,나팔바지,싸이 (PSY),칠집싸이다,"64,610"
6,New Face,싸이 (PSY),PSY 8th 4X2=8,"93,608"
7,That That (prod. & feat. SUGA of BTS),싸이 (PSY),싸다9,"141,355"
8,GENTLEMAN,싸이 (PSY),GENTLEMAN,"76,529"
9,연예인,싸이 (PSY),싸집,"52,802"
10,HOT 낙원 (Feat. 이재훈),싸이 (PSY),3마이,"49,969"
11,강남스타일,싸이 (PSY),싸이6甲 Part.1,"120,496"
12,I LUV IT,싸이 (PSY),PSY 8th 4X2=8,"71,293"
13,HOT 아버지,싸이 (PSY),Remake & Mix 18번,"44,335"
14,감동이야 (feat. 성시경),싸이 (PSY),싸다9,"26,616"
15,DADDY (Feat. CL of 2NE1),싸이 (PSY),칠집싸이다,"57,424"
16,기댈곳,싸이 (PSY),PSY 8th 4X2=8,"78,104"
17,Right Now,싸이 (PSY),PSYFIVE (싸이파이브),"21,359"
18,내 눈에는 (Feat. 이재훈),싸이 (PSY),내 눈에는,"14,888"
19,밤이 깊었네 (feat. 헤이즈),싸이 (PSY),싸다9,"11,200"
20,HOT 벌써 이렇게,싸이 (PSY),Remake & Mix 18번,"11,018"
21,마지막 장면 (Feat. 이성경),싸이 (PSY),PSY 8th 4X2=8,"44,618"
22,환희,싸이 (PSY),Remake & Mix 18번,"10,891"
23,새,싸이 (PSY),Psy From The Psycho World!,"10,390"
24,I Remember You (Feat. Zion.T),싸이 (PSY),칠집싸이다,"34,998"
25,오늘밤새,싸이 (PSY),PSYFIVE (싸이파이브),"7,124"
26,흔들어 주세요,철싸 (노홍철 & 싸이),무한도전 서해안 고속도로 가요제,"11,961"
27,언젠가는,싸이 (PSY),언젠가는 (몽정기 2 삽입곡) - 디지털 싱글,"6,768"
28,낙원,싸이 (PSY),2008 Summer Festival,"4,013"
29,HOT 아름다운 이별 2 (Feat. 이재훈),싸이 (PSY),싸집,"12,020"
30,Dream (Feat. XIA of JYJ),싸이 (PSY),칠집싸이다,"38,648"
31,"19금 77학개론 (Feat. 리쌍, 김진표)",싸이 (PSY),싸이6甲 Part.1,"24,148"
32,청개구리 (Feat. G-Dragon),싸이 (PSY),싸이6甲 Part.1,"17,494"
33,HOT 연예인,싸이 (PSY),2006 올나잇스탠드 LIVE & DVD,"2,119"
34,이제는 (feat. 화사),싸이 (PSY),싸다9,"11,154"
35,Celeb,싸이 (PSY),싸다9,"23,418"
36,We Are The One,싸이 (PSY),싸집,"2,315"
37,HOT 흐린 기억 속의 그대,싸이 (PSY),Remake & Mix 18번,"1,297"
38,HOT 끝,싸이 (PSY),Psy From The Psycho World!,"5,302"
39,LOVE (Feat. 태양),싸이 (PSY),PSY 8th 4X2=8,"14,746"
40,Never Say Goodbye (Feat. 윤도현),싸이 (PSY),싸이6甲 Part.1,"10,114"
41,좋은날이 올거야 (Feat. 전인권),싸이 (PSY),칠집싸이다,"12,923"
42,HOT 비오니까,싸이 (PSY),싸집,"9,479"
43,내 눈에는 (Feat. 이재훈),싸이 (PSY),PSYFIVE (싸이파이브),"10,193"
44,HOT 챔피언,싸이 (PSY),Remake & Mix 18번,"2,073"
45,내일의 나에게,싸이 (PSY),싸다9,"5,002"
46,19금 팩트폭행 (Feat. G-DRAGON),싸이 (PSY),PSY 8th 4X2=8,"18,776"
47,Thank You (Feat. 서인영),싸이 (PSY),PSYFIVE (싸이파이브),"2,126"
48,서른 즈음에,싸이 (PSY),Remake & Mix 18번,922
49,HOT 낙원,싸이 (PSY),2006 올나잇스탠드 LIVE & DVD,854
50,GANJI (feat. Jessi),싸이 (PSY),싸다9,"4,329"
